royal_id,royal_name,code,sibling_id,sibling_name
5418,"Royal 415A Compatible Each Color (W2030/1/2/3)",W2030,,""
5023,"Royal 44A Toner",44A,,""
5417,"Royal 59A Black Compatible (CF259A)",CF259A,5081,"HP 59A Black Toner Catridge (CF259A)"
5416,"Royal 78A Black Compatible (CE278A)",CE278A,5065,"HP 78A Black Toner Laserjet (CE278A)"
5415,"Royal 80A Black Compatible (CF280A)",CF280A,4603,"HP 80A Black Original Laserjet Toner Cartridge (CF280A)"
5414,"Royal 83A Black Compatible (CF283A)",CF283A,5057,"HP 83A Black Toner Laserjet (CF283A)"
5413,"Royal 85A Black Compatible (CE285A)",CE285A,5056,"HP 85A Black Toner Laserjet (CE285A)"
5412,"Royal Compatible 145A",145A,,""
5411,"Royal Compatible 150A",150A,4822,"HP 150A Black Original Laserjet Toner Cartridge"
5410,"Royal Compatible 151A",151A,,""
5409,"Royal Compatible 202A",202A,,""
5408,"Royal Compatible 207A",207A,4166,"HP 207A Black Original Laserjet Toner Cartridge"
5407,"Royal Compatible 212A",212A,5129,"HP 212A Toner Cartridges Cym Each"
5406,"Royal Compatible 216A",216A,4796,"HP 216A Black Original Laserjet Toner Cartridge"
5404,"Royal Compatible 415A  BLACK",415A,4160,"HP 415A Black Original Laserjet Toner Cartridge"
5021,"Royal Compatible TK-1282",TK-1282,,""
3558,"Royal Superior 106A (W1106A) Laserjet Toner Cartridge",W1106A,5182,"HP 106A Black Toner Cartridge (W1106A)"
4172,"Royal Superior 107A Laserjet Toner Cartridge",107A,4175,"HP 107A Black Original Laserjet Toner Cartridge"
4169,"Royal Superior 117A Laserjet Toner Cartridge",117A,4793,"HP 117A Black Original Laserjet Toner Cartridge"
4193,"Royal Superior 125A/128A/131A Laserjet Toner Cartridge",125A,5176,"HP 125A Black Toner Laserjet Catridge (CB540A)"
3554,"Royal Superior 12A Laserjet Toner Cartridge",12A,3556,"HP 12A Black Original Laserjet Toner Cartridge"
4178,"Royal Superior 136A Laserjet Toner Cartridge",136A,,""
4181,"Royal Superior 147A (W1470A) Laserjet Toner Cartridge",W1470A,5151,"HP 147A Black Toner Laserjet Cartridge (W1470A)"
4184,"Royal Superior 151A (W1510A) Laserjet Toner Cartridge",W1510A,4592,"HP 151A Black Laserjet Toner Cartridge (W1510A)"
4074,"Royal Superior 17A Laserjet Toner Cartridge",17A,4077,"HP 17A Black Original Laserjet Toner Cartridge"
4120,"Royal Superior 19A Laserjet Toner Cartridge",19A,5145,"HP 19A Imaging Drum Unit"
4071,"Royal Superior 203A Laserjet Toner Cartridge",203A,4799,"HP 203A Black Original Laserjet Toner Cartridge"
4065,"Royal Superior 205A Laserjet Toner Cartridge",205A,4068,"HP 205A Black Original Laserjet Toner Cartridge"
4202,"Royal Superior 206A Laserjet Toner Cartridge",206A,,""
4163,"Royal Superior 207A Laserjet Toner Cartridge",207A,4166,"HP 207A Black Original Laserjet Toner Cartridge"
4154,"Royal Superior 216A Laserjet Toner Cartridge",216A,4796,"HP 216A Black Original Laserjet Toner Cartridge"
4142,"Royal Superior 26A Laserjet Toner Cartridge",26A,4145,"HP 26A Black Original Laserjet Toner Cartridge"
4126,"Royal Superior 30A Laserjet Toner Cartridge",30A,4129,"HP 30A Black Original Laserjet Toner Cartridge"
4135,"Royal Superior 32A Laserjet Toner Cartridge",32A,4138,"HP 32A Original Laserjet Imaging Drum"
3545,"Royal Superior 36A Laserjet Toner Cartridge",36A,3548,"HP 36A Black Original Laserjet Toner Cartridge"
4157,"Royal Superior 415A Laserjet Toner Cartridge",415A,4160,"HP 415A Black Original Laserjet Toner Cartridge"
3562,"Royal Superior 55A Laserjet Toner Cartridge",55A,3565,"HP 55A Black Original Laserjet Toner Cartridge"
3533,"Royal Superior 59A Laserjet Toner Cartridge",59A,3535,"HP 59A Black Original Laserjet Toner Cartridge"
4187,"Royal Superior 76A (CF276A) Laserjet Toner Cartridge",CF276A,5066,"HP 76A Black Toner Laserjet Cartridge (CF276A)"
3550,"Royal Superior 78A Laserjet Toner Cartridge",78A,3552,"HP 78A Black Original Laserjet Toner Cartridge"
4148,"Royal Superior 79A Laserjet Toner Cartridge",79A,5064,"HP 79A Black Laserjet Toner Cartridge"
3540,"Royal Superior 83A Laserjet Toner Cartridge",83A,3542,"HP 83A Black Original Laserjet Toner Cartridge"
3567,"Royal Superior 88A Laserjet Toner Cartridge",88A,,""
4540,"Royal Superior Laserjet Toner Cartridge 150A",150A,4822,"HP 150A Black Original Laserjet Toner Cartridge"
4916,"Royal Superior Laserjet Toner Cartridge 202A",202A,,""
4919,"Royal Superior Laserjet Toner Cartridge 222A",222A,9612,"HP 222A Black Original Laserjet Toner Cartridge"
4922,"Royal Superior Laserjet Toner Cartridge 230A",230A,9613,"HP 230A Cyan Original Laserjet Toner Cartridge"
4528,"Royal Superior Laserjet Toner Cartridge 85A/35A",85A,4580,"HP 85A Black Original Laserjet Toner Cartridge"
5051,"Royal TK 1110 Original Toner Cartridge",TK-1110,4853,"Kyocera TK-1110 Toner Cartridge"
5386,"Royal TK 1120 Original Toner Cartridge",TK-1120,4232,"Kyocera TK-1120 Toner Cartridge"
5385,"Royal TK 1120 Toner Compatible Cartridge",TK-1120,4232,"Kyocera TK-1120 Toner Cartridge"
5384,"Royal TK 1140 Black Toner Cartridge",TK-1140,,""
5383,"Royal TK 1150 Black Toner Cartridge",TK-1150,4717,"Kyocera TK-1150 Toner Cartridge"
5382,"Royal TK 1150 Compatible Black Toner Cartridge",TK-1150,4717,"Kyocera TK-1150 Toner Cartridge"
5381,"Royal TK 1160 Black Toner Cartridge",TK-1160,4247,"Kyocera TK-1160 Toner Cartridge"
5380,"Royal TK 1170 Black Toner Cartridge",TK-1170,4244,"Kyocera TK-1170 Toner Cartridge"
5018,"Royal TK 1240 Black & TK 1242 Compatible Toner Cartridge",TK-1240,,""
