"id","name","image_url"
"4051","Apc Back-Ups 650VA","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/APC-UPS-650VA.png"
"3473","Asus X515 Celeron 4GB/256SSD/15.6 Laptop","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/ASUS-Laptop-X515.png"
"3475","Asus X543U Core I5 8GB1TB15.6WIN 10 Laptop","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Asus-X543U-Laptop.png"
"5559","Brother BT-D60 BK Black High Yield Ink Bottle","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-BT-D60-BK-Black-High-Yield-Ink-Bottle.webp"
"5561","Brother BT5000C BT5000Y BT5000M Inks Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/BROTHER-Bt5000C-Bt5000Y-Bt5000M-Inks-Each.webp"
"5560","Brother BT6000BK Ink Bottle Black","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-BT6000BK-Ink-Bottle-Black.webp"
"5558","Brother DR-2305 Drum Unit","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-DR-2305-Drum-Unit.webp"
"5357","Brother LC3717 Black Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717-Black-Ink-Cartridges.webp"
"5356","Brother LC3717C Cyan Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717C-Cyan-Ink-Cartridges.webp"
"5355","Brother LC3717M Magneta Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717M-Magneta-Ink-Cartridges.webp"
"5354","Brother LC3717Y Yellow Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3717Y-Yellow-Ink-Cartridges.webp"
"5353","Brother LC3719XL Black Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Black-Ink-Cartridges.webp"
"5352","Brother LC3719XL Cyan Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Cyan-Ink-Cartridges.webp"
"5351","Brother LC3719XL Magenta Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Magenta-Ink-Cartridges.webp"
"5350","Brother LC3719XL Yellow Ink Cartridges","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-LC3719XL-Yellow-Ink-Cartridges.webp"
"4967","Brother TN-1000 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-1000-Black-Toner-Cartridge.webp"
"5557","Brother TN-2130 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2130-Black-Toner-Cartridge.webp"
"4968","Brother TN-2280 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2280-Black-Toner-Cartridge.webp"
"4969","Brother TN-2305 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2305-Black-Toner-Cartridge.webp"
"4395","Brother TN-2350 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Brother-TN-2350-Toner.png"
"5556","Brother TN-2355 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2355-Black-Toner-Cartridge.webp"
"5555","Brother TN-2405 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-2405-Black-Toner-Cartridge.webp"
"5554","Brother TN-261 Toners CMYK Cartridges Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-261-Toners-CMYK-Cartridges-Each.webp"
"5553","Brother TN-273 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-273-Black-Toner-Cartridge.webp"
"5552","Brother TN-273 Color Toner Cartridges Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-273-Color-Toner-Cartridges-Each.webp"
"5551","Brother TN-277 Color Toner Cartridges Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-277-Color-Toner-Cartridges-Each.webp"
"5550","Brother TN-277BK Black Original Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-277BK-Black-Original-Toner-Cartridge.webp"
"5549","Brother TN-3145 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-3145-Black-Toner-Cartridge.webp"
"5548","Brother TN-3250 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-3250-Black-Toner-Cartridge.webp"
"5547","Brother TN-3290 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-3290-Black-Toner-Cartridge.webp"
"5546","Brother TN-3350 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-3350-Black-Toner-Cartridge.webp"
"4403","Brother TN-3350 Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Brother-TN-3350-Toner.png"
"5545","Brother TN-3437 Black Toner High Capacity","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Brother-TN-3437-Black-Toner-High-Capacity.webp"
"5544","Compatible Brother TN-2355 ~ DR-2305 Black Toner","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Compatible-Brother-TN-2355-DR-2305-Black-Toner.webp"
"5520","Canon 045 Cym Toner Cartridges Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-045-Cym-Toner-Cartridges-Each-1.webp"
"5519","Canon 045BK Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-045BK-Black-Toner-Cartridge.webp"
"5518","Canon 718 Black Original Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-718-Black-Original-Laser-Toner-Cartridge.webp"
"5517","Canon 718 Cyan Original Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-718-Cyan-Original-Laser-Toner-Cartridge-1.webp"
"5516","Canon 718 Magenta Original Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-718-Magenta-Original-Laser-Toner-Cartridge.webp"
"5515","Canon 719 Black Original Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-719-Black-Original-Laser-Toner-Cartridge.webp"
"5514","Canon 719 Yellow Original Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-719-Yellow-Original-Laser-Toner-Cartridge-1.webp"
"5509","Canon C-EXV12 Black Original Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-EXV12-Black-Original-Laser-Toner-Cartridge.webp"
"5508","Canon C-EXV14 Black Original Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-EXV14-Black-Original-Laser-Toner-Cartridge-1.webp"
"5506","Canon C-EXV49 Toner Bcmy","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-EXV49-Toner-Bcmy.webp"
"5505","Canon C-EXV51 Black Laser Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-EXV51-Black-Laser-Toner-Cartridge.webp"
"5504","Canon C-EXV51 Toner Each Bcym","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-EXV51-Toner-Each-Bcym.webp"
"5503","Canon C-EXV52 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-EXV52-Black-Toner-Cartridge.png"
"4208","Canon C-Exv 18 Black Toner","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-C-EXV-18-Toner.png"
"5513","Canon C-Exv 33 Black Original Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-Exv-33-Black-Original-Toner-Cartridge.webp"
"4205","Canon C-Exv 42 Black Toner","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-C-EXV-42-Toner.png"
"5512","Canon C-Exv 43 Black Toner Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-Exv-43-Black-Toner-Cartridge.webp"
"5511","Canon C-Exv 51L Cym Toner Cartridges Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-Exv-51L-Cym-Toner-Cartridges-Each.webp"
"5510","Canon C-Exv 54 Toners Each Bcmy","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-C-Exv-54-Toners-Each-Bcmy-1.webp"
"5543","Canon CL-41 Color Ink Original Cartridge Each","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CL-41-Color-Ink-Original-Cartridge-Each.webp"
"5542","Canon CL-441 Color Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CL-441-Color-Ink-Original-Cartridge.webp"
"5541","Canon CL-446 Color Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CL-446-Color-Ink-Original-Cartridge.webp"
"5540","Canon CL-511 Color Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CL-511-Color-Ink-Original-Cartridge.webp"
"5539","Canon CL-56 Color Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CL-56-Color-Ink-Original-Cartridge.webp"
"5538","Canon CLI-36 Color Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CLI-36-Color-Ink-Original-Cartridge.webp"
"5537","Canon CLI-451 Black Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CLI-451-Black-Ink-Cartridge.webp"
"5536","Canon CLI-451 Cyan Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CLI-451-Cyan-Ink-Original-Cartridge.webp"
"5535","Canon CLI-451 Magenta Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CLI-451-Magenta-Ink-Original-Cartridge.webp"
"5534","Canon CLI-451 Yellow Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-CLI-451-Yellow-Ink-Original-Cartridge.webp"
"3442","Canon Canoscan Lide 300 Scanner","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2024/12/Canon-300-scanner.png"
"4470","Canon I-Sensys MF3010 Mfp All-In-One Laser Printer","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2025/01/Canon-i-SENSYS-MF3010.png"
"5533","Canon PG-445 Black Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PG-445-Black-Ink-Original-Cartridge.png"
"5532","Canon PG-46 Black Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PG-46-Black-Ink-Original-Cartridge.webp"
"5531","Canon PG-510 Black Ink Original Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PG-510-Black-Ink-Original-Cartridge.webp"
"5530","Canon PGI-1400XL Black Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-1400XL-Black-Ink-Cartridge.webp"
"5529","Canon PGI-1400XL Cyan Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-1400XL-Cyan-Ink-Cartridge.webp"
"5528","Canon PGI-1400XL Magenta Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-1400XL-Magenta-Ink-Cartridge.webp"
"5527","Canon PGI-1400XL Yellow Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-1400XL-Yellow-Ink-Cartridge.webp"
"5526","Canon PGI-2400XL Black Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-2400XL-Black-Ink-Cartridge.webp"
"5525","Canon PGI-2400XL Cyan Ink Cartridge","https://old.trinatechtonersandprinters.co.ke/wp-content/uploads/2026/02/Canon-PGI-2400XL-Cyan-Ink-Cartridge.webp"
